save_name,freq_slice,time_center,dm_center,time_left,dm_left
00027.npy,0,5840.05,548.35,5717.23,598.25
00027.npy,1,-1.0,-1.0,-1.0,-1.0
00027.npy,2,5855.4,548.35,5747.94,602.09
00028.npy,0,336.35,551.23,267.26,593.45
00028.npy,1,-1.0,-1.0,-1.0,-1.0
00028.npy,2,336.35,550.27,282.61,599.21
00029.npy,0,5916.81,548.35,5832.38,602.09
00029.npy,1,-1.0,-1.0,-1.0,-1.0
00029.npy,2,5916.81,550.27,5778.64,608.8
00030.npy,0,-1.0,-1.0,-1.0,-1.0
00030.npy,1,2401.2,546.43,2201.62,573.3
00030.npy,2,-1.0,-1.0,-1.0,-1.0
00031.npy,0,2048.1,550.27,1871.55,625.11
00031.npy,1,-1.0,-1.0,-1.0,-1.0
00031.npy,2,2002.04,554.11,1787.11,691.32
00032.npy,0,305.64,556.99,205.85,602.09
00032.npy,0,1618.24,558.91,1434.02,598.25
00032.npy,1,1633.59,555.07,1272.82,604.0
00032.npy,2,267.26,548.35,251.91,604.0
00033.npy,0,2431.9,552.19,2216.97,594.41
00033.npy,0,2570.07,552.19,2516.34,594.41
00033.npy,1,2447.25,550.27,2224.65,584.81
00033.npy,2,2447.25,552.19,2263.03,588.65
00033.npy,2,2585.42,549.31,2500.98,588.65
00034.npy,0,5824.7,553.15,5740.26,586.73
00034.npy,1,-1.0,-1.0,-1.0,-1.0
00034.npy,2,5824.7,553.15,5686.53,608.8
00035.npy,0,4588.86,548.35,4427.66,596.33
00035.npy,1,4596.54,549.31,4350.9,580.98
00035.npy,2,4619.56,543.56,4473.72,594.41
00036.npy,0,7943.28,561.79,7697.65,630.87
00036.npy,1,-1.0,-1.0,-1.0,-1.0
00036.npy,2,7927.93,550.27,7759.06,643.34
00037.npy,0,7973.98,551.23,7643.92,607.84
00037.npy,1,7943.28,551.23,7597.86,611.68
00037.npy,2,7950.96,549.31,7666.94,623.19
00038.npy,0,4995.69,555.07,4872.87,604.96
00038.npy,0,5993.57,554.11,5533.01,627.03
00038.npy,1,5026.39,550.27,4788.44,589.61
00038.npy,1,5962.87,556.03,5333.43,642.38
00038.npy,2,5011.04,549.31,4834.49,634.71
00039.npy,0,1863.87,551.23,1764.09,601.13
00039.npy,1,-1.0,-1.0,-1.0,-1.0
00039.npy,2,1894.58,548.35,1817.82,604.0
00040.npy,0,1150.0,550.27,988.81,591.53
00040.npy,0,5863.08,551.23,5717.23,593.45
00040.npy,1,-1.0,-1.0,-1.0,-1.0
00040.npy,2,1134.65,550.27,1050.22,608.8
00040.npy,2,5878.43,550.27,5794.0,594.41
00041.npy,0,5011.04,552.19,4611.89,604.0
00041.npy,1,4995.69,548.35,4558.16,620.32
00041.npy,2,-1.0,-1.0,-1.0,-1.0
00042.npy,0,5640.47,550.27,5502.31,631.83
00042.npy,1,-1.0,-1.0,-1.0,-1.0
00042.npy,2,5625.12,548.35,5494.63,633.75
00043.npy,0,1080.92,550.27,865.99,601.13
00043.npy,0,7843.49,550.27,7720.68,599.21
00043.npy,1,-1.0,-1.0,-1.0,-1.0
00043.npy,2,1065.57,548.35,865.99,615.52
00043.npy,2,7851.17,550.27,7728.35,590.57
00044.npy,0,6976.1,549.31,6768.85,588.65
00044.npy,1,-1.0,-1.0,-1.0,-1.0
00044.npy,2,6983.78,552.19,6853.29,582.9
00045.npy,0,6385.05,549.31,6262.23,604.0
00045.npy,1,-1.0,-1.0,-1.0,-1.0
00045.npy,2,6385.05,552.19,6269.91,601.13
00046.npy,0,7659.27,548.35,7551.8,604.0
00046.npy,1,-1.0,-1.0,-1.0,-1.0
00046.npy,2,7697.65,551.23,7498.07,607.84
00047.npy,0,2055.77,549.31,1940.63,596.33
00047.npy,1,-1.0,-1.0,-1.0,-1.0
00047.npy,2,2078.8,548.35,1909.93,600.17
00048.npy,0,3997.81,549.31,3890.34,608.8
00048.npy,1,-1.0,-1.0,-1.0,-1.0
00048.npy,2,4005.48,551.23,3813.58,615.52
00049.npy,0,-1.0,-1.0,-1.0,-1.0
00049.npy,1,-1.0,-1.0,-1.0,-1.0
00049.npy,2,3798.23,548.35,3652.39,603.05
00050.npy,0,3306.97,553.15,3030.63,672.13
00050.npy,1,3306.97,551.23,2969.22,607.84
00050.npy,2,3306.97,551.23,2992.25,705.71
00051.npy,0,129.09,548.35,83.04,592.49
00051.npy,1,-1.0,-1.0,-1.0,-1.0
00051.npy,2,113.74,550.27,75.36,596.33
00052.npy,0,7413.63,550.27,7198.71,582.9
00052.npy,1,7367.58,548.35,7175.68,588.65
00052.npy,2,7129.62,542.6,7068.21,585.77
00052.npy,2,7375.25,550.27,7267.79,578.1
00053.npy,0,3414.43,552.19,2969.22,709.55
00053.npy,1,3414.43,552.19,2854.08,671.17
00053.npy,2,3391.4,560.83,3030.63,696.12
00054.npy,0,3214.85,549.31,3122.74,593.45
00054.npy,1,-1.0,-1.0,-1.0,-1.0
00054.npy,2,3199.5,550.27,3069.01,600.17
00055.npy,0,1817.82,552.19,1633.59,623.19
00055.npy,1,1848.52,549.31,1610.57,588.65
00055.npy,2,1856.2,552.19,1641.27,634.71
00056.npy,0,6945.4,550.27,6814.91,602.09
00056.npy,1,-1.0,-1.0,-1.0,-1.0
00056.npy,2,6945.4,552.19,6830.26,617.44
00057.npy,0,827.61,546.43,589.65,616.48
00057.npy,1,-1.0,-1.0,-1.0,-1.0
00057.npy,2,789.23,549.31,628.03,615.52
00058.npy,0,1203.74,552.19,896.7,640.47
00058.npy,1,1219.09,553.15,881.34,599.21
00058.npy,2,1173.03,549.31,927.4,653.9
00059.npy,0,-1.0,-1.0,-1.0,-1.0
00059.npy,1,-1.0,-1.0,-1.0,-1.0
00059.npy,2,4435.34,554.11,4289.5,598.25
00060.npy,0,5686.53,550.27,5456.25,602.09
00060.npy,1,5686.53,548.35,5548.36,582.9
00060.npy,2,5701.88,550.27,5433.22,608.8
00061.npy,0,7582.51,549.31,7206.38,612.64
00061.npy,1,7590.18,552.19,7183.35,603.05
00061.npy,2,-1.0,-1.0,-1.0,-1.0
00062.npy,0,1019.51,552.19,804.58,607.84
00062.npy,1,-1.0,-1.0,-1.0,-1.0
00062.npy,2,-1.0,-1.0,-1.0,-1.0
00063.npy,0,6883.99,552.19,6669.06,583.86
00063.npy,1,6899.34,549.31,6576.95,587.69
00063.npy,2,4550.48,538.76,4427.66,604.96
00064.npy,0,7544.13,552.19,7283.14,600.17
00064.npy,1,7567.16,550.27,7237.09,600.17
00064.npy,2,7582.51,550.27,7382.93,603.05
00065.npy,0,2339.79,552.19,2170.91,620.32
00065.npy,1,-1.0,-1.0,-1.0,-1.0
00065.npy,2,2362.81,551.23,2155.56,621.28
00066.npy,0,1856.2,550.27,1771.76,611.68
00066.npy,1,-1.0,-1.0,-1.0,-1.0
00066.npy,2,1886.9,552.19,1741.06,614.56
00067.npy,0,7298.49,551.23,7114.27,612.64
00067.npy,1,-1.0,-1.0,-1.0,-1.0
00067.npy,2,7306.17,553.15,7137.3,612.64
00068.npy,0,2631.48,548.35,2608.45,610.72
00068.npy,1,-1.0,-1.0,-1.0,-1.0
00068.npy,2,2662.18,550.27,2508.66,605.92
00069.npy,0,919.72,550.27,758.53,587.69
00069.npy,1,-1.0,-1.0,-1.0,-1.0
00069.npy,2,881.34,550.27,796.91,602.09
00070.npy,0,3214.85,554.11,3168.8,623.19
00070.npy,1,-1.0,-1.0,-1.0,-1.0
00070.npy,2,3230.2,551.23,3122.74,625.11
00071.npy,0,-1.0,-1.0,-1.0,-1.0
00071.npy,1,2600.77,551.23,2278.38,584.81
00071.npy,2,-1.0,-1.0,-1.0,-1.0
00072.npy,0,7329.2,553.15,7191.03,646.22
00072.npy,1,7313.85,549.31,7052.86,596.33
00072.npy,2,7336.87,548.35,7106.59,667.33
00073.npy,0,8165.88,549.31,8004.69,579.06
00073.npy,1,-1.0,-1.0,-1.0,-1.0
00073.npy,2,8158.21,546.43,8050.74,590.57
00074.npy,0,3437.46,545.47,3353.02,585.77
00074.npy,0,3874.99,548.35,3775.2,607.84
00074.npy,1,-1.0,-1.0,-1.0,-1.0
00074.npy,2,3867.31,548.35,3713.79,619.36
00075.npy,0,1019.51,554.11,796.91,593.45
00075.npy,1,1057.89,549.31,804.58,588.65
00075.npy,2,-1.0,-1.0,-1.0,-1.0
00076.npy,0,7636.24,546.43,7528.78,605.92
00076.npy,1,-1.0,-1.0,-1.0,-1.0
00076.npy,2,7651.59,550.27,7544.13,625.11
00077.npy,0,5026.39,551.23,4911.25,593.45
00077.npy,1,-1.0,-1.0,-1.0,-1.0
00077.npy,2,5049.42,548.35,4934.28,596.33
00078.npy,0,5456.25,549.31,5287.38,598.25
00078.npy,1,5448.57,550.27,5202.94,588.65
00078.npy,2,5440.9,546.43,5302.73,604.0
00079.npy,0,8043.07,549.31,7935.6,617.44
00079.npy,1,-1.0,-1.0,-1.0,-1.0
00079.npy,2,8035.39,546.43,7958.63,636.63
00080.npy,0,3997.81,549.31,3936.4,609.76
00080.npy,1,-1.0,-1.0,-1.0,-1.0
00080.npy,2,3990.13,546.43,3859.64,633.75
00081.npy,0,4373.93,552.19,4258.79,599.21
00081.npy,1,-1.0,-1.0,-1.0,-1.0
00081.npy,2,4366.26,552.19,4197.38,617.44
00082.npy,0,7214.06,551.23,7098.92,604.96
00082.npy,1,-1.0,-1.0,-1.0,-1.0
00082.npy,2,7191.03,549.31,7006.81,602.09
00083.npy,0,6853.29,545.47,6730.47,596.33
00083.npy,1,-1.0,-1.0,-1.0,-1.0
00083.npy,2,6853.29,552.19,6699.77,609.76
00084.npy,0,942.75,556.03,842.96,612.64
00084.npy,0,1495.42,558.91,1211.41,605.92
00084.npy,1,1526.13,552.19,1057.89,617.44
00084.npy,2,927.4,550.27,827.61,624.15
00085.npy,0,4657.94,546.43,4607.94,596.33
00085.npy,0,5164.56,550.27,4964.99,581.94
00085.npy,0,5295.05,547.39,5249.0,604.96
00085.npy,1,5195.27,540.68,4865.2,596.33
00085.npy,2,4673.3,551.23,4565.83,603.05
00085.npy,2,5279.7,553.15,5225.97,613.6
00086.npy,0,3644.71,553.15,3452.81,592.49
00086.npy,1,3660.06,550.27,3353.02,611.68
00086.npy,2,-1.0,-1.0,-1.0,-1.0
00087.npy,0,927.4,552.19,735.5,625.11
00087.npy,1,-1.0,-1.0,-1.0,-1.0
00087.npy,2,896.7,550.27,865.99,621.28
00088.npy,0,3468.16,550.27,3414.43,604.0
00088.npy,1,-1.0,-1.0,-1.0,-1.0
00088.npy,2,3491.19,550.27,3414.43,607.84
00089.npy,0,4082.24,547.39,3982.45,609.76
00089.npy,1,-1.0,-1.0,-1.0,-1.0
00089.npy,2,4089.92,546.43,3982.45,614.56
00090.npy,0,5502.31,548.35,5379.49,599.21
00090.npy,1,-1.0,-1.0,-1.0,-1.0
00090.npy,2,5502.31,546.43,5394.84,596.33
00091.npy,0,5026.39,553.15,4988.01,608.8
00091.npy,1,-1.0,-1.0,-1.0,-1.0
00091.npy,2,5072.45,548.35,4995.69,604.0
00092.npy,0,2155.56,549.31,1986.69,655.82
00092.npy,1,-1.0,-1.0,-1.0,-1.0
00092.npy,2,2147.89,552.19,1986.69,645.26
00093.npy,0,2600.77,549.31,2524.01,599.21
00093.npy,1,-1.0,-1.0,-1.0,-1.0
00093.npy,2,2585.42,549.31,2485.63,636.63
00094.npy,0,720.15,550.27,612.68,603.05
00094.npy,1,-1.0,-1.0,-1.0,-1.0
00094.npy,2,712.47,549.31,520.57,627.03
00095.npy,0,3429.78,550.27,3214.85,601.13
00095.npy,1,-1.0,-1.0,-1.0,-1.0
00095.npy,2,3406.75,554.11,3230.2,619.36
00096.npy,0,113.74,550.27,52.33,582.9
00096.npy,1,-1.0,-1.0,-1.0,-1.0
00096.npy,2,136.77,550.27,52.33,590.57
00097.npy,0,7206.38,552.19,6960.75,594.41
00097.npy,1,-1.0,-1.0,-1.0,-1.0
00097.npy,2,7221.73,551.23,7022.16,592.49
00098.npy,0,-1.0,-1.0,-1.0,-1.0
00098.npy,1,-1.0,-1.0,-1.0,-1.0
00098.npy,2,5794.0,547.39,5655.83,615.52
00099.npy,0,3982.45,550.27,3805.91,600.17
00099.npy,1,-1.0,-1.0,-1.0,-1.0
00099.npy,2,3967.1,550.27,3828.93,601.13
00100.npy,0,7567.16,550.27,7436.66,602.09
00100.npy,1,-1.0,-1.0,-1.0,-1.0
00100.npy,2,7574.83,548.35,7382.93,614.56
00101.npy,0,2186.27,551.23,2094.15,611.68
00101.npy,1,-1.0,-1.0,-1.0,-1.0
00101.npy,2,2209.29,549.31,2071.13,620.32
00102.npy,0,8142.86,550.27,8096.8,589.61
00102.npy,1,-1.0,-1.0,-1.0,-1.0
00102.npy,2,8119.83,550.27,8050.5,583.86
00103.npy,0,5840.05,550.27,5617.45,586.73
00103.npy,1,-1.0,-1.0,-1.0,-1.0
00103.npy,2,-1.0,-1.0,-1.0,-1.0
00104.npy,0,3099.71,552.19,2923.16,620.32
00104.npy,1,3115.06,550.27,2923.16,598.25
00104.npy,2,3092.04,552.19,2907.81,615.52
00105.npy,0,190.5,550.27,98.39,594.41
00105.npy,0,2216.97,558.91,2094.15,604.96
00105.npy,1,2170.91,565.62,1848.52,616.48
00105.npy,2,205.85,549.31,98.39,600.17
00105.npy,2,2193.94,559.87,2002.04,634.71
00106.npy,0,7382.93,546.43,7298.49,589.61
00106.npy,1,-1.0,-1.0,-1.0,-1.0
00106.npy,2,7382.93,550.27,7298.49,619.36
00107.npy,0,1318.88,551.23,1042.54,586.73
00107.npy,1,1326.55,550.27,1050.22,592.49
00107.npy,2,-1.0,-1.0,-1.0,-1.0
00108.npy,0,1664.3,551.23,1579.86,604.96
00108.npy,1,-1.0,-1.0,-1.0,-1.0
00108.npy,2,1664.3,550.27,1641.27,604.0
00109.npy,0,4780.76,551.23,4688.65,604.0
00109.npy,1,-1.0,-1.0,-1.0,-1.0
00109.npy,2,4765.41,552.19,4719.35,619.36
00110.npy,0,8104.48,551.23,8043.07,588.65
00110.npy,1,-1.0,-1.0,-1.0,-1.0
00110.npy,2,8119.83,547.39,8020.04,638.55
00111.npy,0,5840.05,548.35,5747.94,587.69
00111.npy,1,-1.0,-1.0,-1.0,-1.0
00111.npy,2,5817.02,550.27,5571.39,630.87
00112.npy,0,7774.41,552.19,7666.94,615.52
00112.npy,1,-1.0,-1.0,-1.0,-1.0
00112.npy,2,7774.41,553.15,7705.32,619.36
00113.npy,0,3660.06,546.43,3598.65,589.61
00113.npy,1,-1.0,-1.0,-1.0,-1.0
00113.npy,2,3660.06,546.43,3598.65,608.8
00114.npy,0,2616.12,556.99,2477.96,639.51
00114.npy,1,-1.0,-1.0,-1.0,-1.0
00114.npy,2,2585.42,552.19,2493.31,649.1
00115.npy,0,5318.08,547.39,5195.27,627.03
00115.npy,1,-1.0,-1.0,-1.0,-1.0
00115.npy,2,5302.73,556.03,5179.91,641.43
00116.npy,0,6162.44,548.35,6062.66,594.41
00116.npy,1,-1.0,-1.0,-1.0,-1.0
00116.npy,2,6162.44,548.35,6024.28,598.25
00117.npy,0,374.73,546.43,305.64,606.88
00117.npy,1,-1.0,-1.0,-1.0,-1.0
00117.npy,2,359.37,556.03,251.91,625.11
00118.npy,0,6745.82,554.11,6216.18,727.78
00118.npy,1,-1.0,-1.0,-1.0,-1.0
00118.npy,2,6745.82,552.19,6323.64,730.66
00119.npy,0,1357.26,552.19,1295.85,617.44
00119.npy,1,-1.0,-1.0,-1.0,-1.0
00119.npy,2,1334.23,551.23,1249.79,628.95
00120.npy,0,6607.65,553.15,6438.78,613.6
00120.npy,1,6623.0,546.43,6423.43,586.73
00120.npy,2,6607.65,549.31,6362.02,635.67
00121.npy,0,-1.0,-1.0,-1.0,-1.0
00121.npy,1,-1.0,-1.0,-1.0,-1.0
00121.npy,2,-1.0,-1.0,-1.0,-1.0
00122.npy,0,1556.83,550.27,1434.02,600.17
00122.npy,1,-1.0,-1.0,-1.0,-1.0
00122.npy,2,1564.51,549.31,1403.31,605.92
00123.npy,0,1756.41,551.23,1695.0,615.52
00123.npy,1,-1.0,-1.0,-1.0,-1.0
00123.npy,2,1756.41,548.35,1656.62,622.24
00124.npy,0,3368.37,552.19,2953.87,678.85
00124.npy,1,3383.73,553.15,2708.24,658.7
00124.npy,2,3391.4,548.35,3138.09,675.01
00125.npy,0,4988.01,548.35,4842.17,593.45
00125.npy,1,-1.0,-1.0,-1.0,-1.0
00125.npy,2,-1.0,-1.0,-1.0,-1.0
00126.npy,0,4934.28,551.23,4688.65,657.74
00126.npy,0,5149.21,552.19,5011.04,612.64
00126.npy,1,5164.56,550.27,4796.11,615.52
00126.npy,2,4941.96,552.19,4765.41,641.43
00126.npy,2,5164.56,554.11,5072.45,621.28
00127.npy,0,1265.14,549.31,958.1,651.98
00127.npy,1,1242.12,547.39,942.75,596.33
00127.npy,2,1249.79,549.31,988.81,676.93
00128.npy,0,113.74,550.27,60.01,598.25
00128.npy,1,-1.0,-1.0,-1.0,-1.0
00128.npy,2,98.39,548.35,67.69,605.92
00129.npy,0,144.45,553.15,90.71,615.52
00129.npy,1,-1.0,-1.0,-1.0,-1.0
00129.npy,2,121.42,548.35,75.36,604.0
00130.npy,0,4596.54,548.35,4489.07,607.84
00130.npy,1,-1.0,-1.0,-1.0,-1.0
00130.npy,2,4573.51,548.35,4481.4,619.36
00131.npy,0,2224.65,551.23,1986.69,599.21
00131.npy,1,2216.97,552.19,1986.69,598.25
00131.npy,2,2216.97,547.39,2063.45,604.0
00132.npy,0,850.64,549.31,697.12,613.6
00132.npy,1,850.64,552.19,605.01,605.92
00132.npy,2,865.99,550.27,735.5,592.49
00133.npy,0,2186.27,544.52,1955.99,627.03
00133.npy,0,2516.34,551.23,2477.96,615.52
00133.npy,1,2224.65,551.23,1971.34,597.29
00133.npy,2,2193.94,544.52,2032.75,627.03
00133.npy,2,2500.98,552.19,2462.6,610.72
00134.npy,0,2232.32,547.39,2094.15,630.87
00134.npy,1,-1.0,-1.0,-1.0,-1.0
00134.npy,2,2216.97,550.27,2094.15,645.26
00135.npy,0,5041.75,550.27,4941.96,594.41
00135.npy,1,-1.0,-1.0,-1.0,-1.0
00135.npy,2,5049.42,547.39,4980.34,621.28
00136.npy,0,6807.23,553.15,6338.99,691.32
00136.npy,1,6807.23,551.23,6147.09,661.57
00136.npy,2,6799.55,554.11,6561.6,709.55
00137.npy,0,5272.03,552.19,5133.86,611.68
00137.npy,1,-1.0,-1.0,-1.0,-1.0
00137.npy,2,5256.67,553.15,5103.15,632.79
00138.npy,0,865.99,549.31,773.88,601.13
00138.npy,1,-1.0,-1.0,-1.0,-1.0
00138.npy,2,889.02,544.52,835.29,605.92
00139.npy,0,2293.73,554.11,2216.97,600.17
00139.npy,1,-1.0,-1.0,-1.0,-1.0
00139.npy,2,2247.67,551.23,2163.24,619.36
00140.npy,0,5924.49,552.19,5709.56,575.22
00140.npy,1,5924.49,549.31,5678.85,584.81
00140.npy,2,-1.0,-1.0,-1.0,-1.0
00141.npy,0,382.4,550.27,159.8,693.24
00141.npy,1,405.43,549.31,167.47,596.33
00141.npy,2,382.4,552.19,221.21,665.41
00142.npy,0,4320.2,549.31,4105.27,600.17
00142.npy,1,-1.0,-1.0,-1.0,-1.0
00142.npy,2,4335.55,546.43,4143.65,626.07
00143.npy,0,7375.25,553.15,7221.73,623.19
00143.npy,1,-1.0,-1.0,-1.0,-1.0
00143.npy,2,7367.58,557.95,7168.0,649.1
00144.npy,0,1349.58,547.39,1080.92,603.05
00144.npy,1,1387.96,546.43,1004.16,604.0
00144.npy,2,-1.0,-1.0,-1.0,-1.0
00145.npy,0,4228.09,552.19,3775.2,696.12
00145.npy,1,4220.41,554.11,3521.89,676.93
00145.npy,2,4212.74,555.07,3859.64,719.14
00146.npy,0,1556.83,549.31,1495.42,616.48
00146.npy,1,-1.0,-1.0,-1.0,-1.0
00146.npy,2,1602.89,550.27,1495.42,607.84
00147.npy,0,4727.03,548.35,4604.21,625.11
00147.npy,1,-1.0,-1.0,-1.0,-1.0
00147.npy,2,4719.35,552.19,4542.8,630.87
00148.npy,0,4880.55,550.27,4796.11,609.76
00148.npy,1,-1.0,-1.0,-1.0,-1.0
00148.npy,2,4880.55,548.35,4780.76,611.68
00149.npy,0,835.29,550.27,743.18,594.41
00149.npy,1,-1.0,-1.0,-1.0,-1.0
00149.npy,2,835.29,552.19,743.18,615.52
00150.npy,0,5456.25,550.27,5325.76,604.0
00150.npy,1,5448.57,549.31,5218.29,590.57
00150.npy,2,5433.22,548.35,5333.43,596.33
00151.npy,0,1879.23,552.19,1741.06,627.03
00151.npy,1,-1.0,-1.0,-1.0,-1.0
00151.npy,2,1871.55,551.23,1679.65,632.79
00152.npy,0,443.81,550.27,282.61,651.98
00152.npy,1,-1.0,-1.0,-1.0,-1.0
00152.npy,2,466.84,550.27,297.97,649.1
00153.npy,0,3138.09,549.31,3076.68,605.92
00153.npy,1,-1.0,-1.0,-1.0,-1.0
00153.npy,2,3153.44,548.35,3076.68,615.52
00154.npy,0,3429.78,548.35,3276.26,607.84
00154.npy,1,-1.0,-1.0,-1.0,-1.0
00154.npy,2,3406.75,548.35,3322.32,612.64
00155.npy,0,1295.85,554.11,1226.76,612.64
00155.npy,0,2017.39,553.15,1925.28,599.21
00155.npy,1,-1.0,-1.0,-1.0,-1.0
00155.npy,2,1280.5,554.11,1180.71,651.98
00155.npy,2,2017.39,552.19,1863.87,617.44
00156.npy,0,5671.18,548.35,5379.49,638.55
00156.npy,0,7613.21,563.71,7428.99,623.19
00156.npy,1,5686.53,547.39,5195.27,621.28
00156.npy,2,5686.53,550.27,5471.6,657.74
00156.npy,2,7613.21,559.87,7513.42,623.19
00157.npy,0,4988.01,554.11,4811.46,616.48
00157.npy,1,-1.0,-1.0,-1.0,-1.0
00157.npy,2,5003.37,550.27,4811.46,623.19
00158.npy,0,-1.0,-1.0,-1.0,-1.0
00158.npy,1,-1.0,-1.0,-1.0,-1.0
00158.npy,2,1103.95,556.03,1034.86,630.87
00159.npy,0,4212.74,543.56,3990.13,624.15
00159.npy,0,4519.78,550.27,4366.26,599.21
00159.npy,1,4228.09,542.6,3913.37,591.53
00159.npy,1,4565.83,545.47,4281.82,593.45
00159.npy,2,4212.74,549.31,4059.21,615.52
00159.npy,2,4496.75,554.11,4358.58,622.24
00160.npy,0,420.78,545.47,367.05,600.17
00160.npy,1,-1.0,-1.0,-1.0,-1.0
00160.npy,2,428.46,552.19,351.7,613.6
00161.npy,0,4512.1,548.35,4427.66,619.36
00161.npy,1,-1.0,-1.0,-1.0,-1.0
00161.npy,2,4519.78,552.19,4366.26,644.3
00162.npy,0,2815.7,551.23,2723.59,622.24
00162.npy,1,-1.0,-1.0,-1.0,-1.0
00162.npy,2,2846.4,552.19,2708.24,653.9
00163.npy,0,904.37,548.35,674.09,636.63
00163.npy,0,1318.88,549.31,1126.98,615.52
00163.npy,1,873.67,546.43,390.08,621.28
00163.npy,1,1372.61,538.76,1050.22,600.17
